,Title,Author,TitleMain,Subtitle
5,Crucial conversations : tools for talking when stakes are high / Kerry Patterson ... [and others].,,Crucial conversations : tools for talking when stakes are high , Kerry Patterson ... [and others].
9,"Be here now, remember.",,"Be here now, remember.",
23,"A very merry temptation / Kimberly Kaye Terry, Pamela Yaye, Farrah Rochon.",,A very merry temptation ," Kimberly Kaye Terry, Pamela Yaye, Farrah Rochon."
65,"Crossing the frontier : photographs of the developing West, 1849 to the present / Sandra S. Phillips ... [and others].",,"Crossing the frontier : photographs of the developing West, 1849 to the present ", Sandra S. Phillips ... [and others].
78,What's wrong with mindfulness (and what isn't) : Zen perspectives / edited by Robert Meikyo Rosenbaum and Barry Magid.,,What's wrong with mindfulness (and what isn't) : Zen perspectives , edited by Robert Meikyo Rosenbaum and Barry Magid.
84,"Peterson's SAT prep guide : the ultimate guide to mastering the SAT exam, 2019.",,"Peterson's SAT prep guide : the ultimate guide to mastering the SAT exam, 2019.",
123,The Arabian Nights = Alf laylah wa-laylah / translated by Husain Haddawy ; based on the text of the fourteenth-century Syrian manuscript edited by Muhsin Mahdi.,,The Arabian Nights = Alf laylah wa-laylah , translated by Husain Haddawy ; based on the text of the fourteenth-century Syrian manuscript edited by Muhsin Mahdi.
126,"125 wacky roadside attractions : see all the weird, wonderful, and downright bizarre landmarks from around the world!.",,"125 wacky roadside attractions : see all the weird, wonderful, and downright bizarre landmarks from around the world!.",
149,Funny family jokes : something for everyone from age 9 to 99 / Reader's Digest.,,Funny family jokes : something for everyone from age 9 to 99 , Reader's Digest.
192,"Fearless girls, wise women, and beloved sisters : heroines in folktales from around the world / edited by Kathleen Ragan ; [with a foreword by Jane Yolen].",,"Fearless girls, wise women, and beloved sisters : heroines in folktales from around the world ", edited by Kathleen Ragan ; [with a foreword by Jane Yolen].
195,Peppa Pig. Peppa's Christmas wish.,,Peppa Pig. Peppa's Christmas wish.,
200,"Covered wagon women : diaries & letters from the western trails, 1840-1890 / edited & compiled by Kenneth L. Holmes.",,"Covered wagon women : diaries & letters from the western trails, 1840-1890 ", edited & compiled by Kenneth L. Holmes.
215,Haboo : native American stories from Puget Sound / translated and edited by Vi (Taq [superscript w] š [inverted upside-down e] blu Hilbert ; foreword and introduction by Thom Hess ; drawings by Ron Hilbert/Coy.,,Haboo : native American stories from Puget Sound , translated and edited by Vi (Taq [superscript w] š [inverted upside-down e] blu Hilbert ; foreword and introduction by Thom Hess ; drawings by Ron Hilbert/Coy.
220,You only live once : a lifetime of experiences for the explorer in all of us / Ann Abel [and 18 others].,,You only live once : a lifetime of experiences for the explorer in all of us , Ann Abel [and 18 others].
231,Pass the U.S. citizenship exam.,,Pass the U.S. citizenship exam.,
232,Life in the wild.,,Life in the wild.,
236,John Paul II : a Pope for the people / text by Luigi Accattoli ... [and others] ; captions by Michael Schrom ; translated from the German by Russell Stockman.,,John Paul II : a Pope for the people , text by Luigi Accattoli ... [and others] ; captions by Michael Schrom ; translated from the German by Russell Stockman.
247,"Canada / [main contributers, Lisa Voormeij ... [and others]].",,Canada ," [main contributers, Lisa Voormeij ... [and others]]."
285,CNA study guide : test prep with practice test questions for the NNAAP Certified Nurse Assistant exam.,,CNA study guide : test prep with practice test questions for the NNAAP Certified Nurse Assistant exam.,
301,The Dictionary of national biography : the concise dictionary.,,The Dictionary of national biography : the concise dictionary.,
312,"Consumer expenditure interview survey : quarterly data, 1984-87 / U.S. Department of Labor, Bureau of Labor Statistics.",,"Consumer expenditure interview survey : quarterly data, 1984-87 "," U.S. Department of Labor, Bureau of Labor Statistics."
337,Trailer life's RV repair & maintenance manual / edited by Bob Livingston.,,Trailer life's RV repair & maintenance manual , edited by Bob Livingston.
348,"DIY roofing : shingles, shakes, tile, rubber, metal, plus roof repair / Black + Decker.",,"DIY roofing : shingles, shakes, tile, rubber, metal, plus roof repair ", Black + Decker.
366,"The math book / [contributors, Karl Warsi (consultant editor), Jan Dangerfield, Heather Davis, John Farndon, Jonny Griffiths, Tom Jackson, Mukul Patel, Sue Pope, Matt Parker (foreword)].",,The math book ," [contributors, Karl Warsi (consultant editor), Jan Dangerfield, Heather Davis, John Farndon, Jonny Griffiths, Tom Jackson, Mukul Patel, Sue Pope, Matt Parker (foreword)]."
393,"Evolution : the whole story / general editor, Steve Parker.",,Evolution : the whole story ," general editor, Steve Parker."
416,The CIA UFO papers : 50 years of government secrets and cover-ups / [edited by] Dan Wright ; foreword by Jan Harzan.,,The CIA UFO papers : 50 years of government secrets and cover-ups , [edited by] Dan Wright ; foreword by Jan Harzan.
488,All new building decks / editors of Fine Homebuilding.,,All new building decks , editors of Fine Homebuilding.
537,"Wonder Woman. Vol. 9, The enemy of both sides / writers, Steve Orlando, Tim Seeley, Rafael Scavone [and twelve others] ; artists, Laura Braga, ACO, David Lorenzo [and seventeen others] ; colorists, Romulo Fajardo Jr., Borja Pindado, Steve Buccellato [and ten others] ; letterers, Saida Temofonte, Travis Lanham, Steve Wands [and eight others] ; collection cover artist, Stanley ""Artgerm"" Lau.",,"Wonder Woman. Vol. 9, The enemy of both sides "," writers, Steve Orlando, Tim Seeley, Rafael Scavone [and twelve others] ; artists, Laura Braga, ACO, David Lorenzo [and seventeen others] ; colorists, Romulo Fajardo Jr., Borja Pindado, Steve Buccellato [and ten others] ; letterers, Saida Temofonte, Travis Lanham, Steve Wands [and eight others] ; collection cover artist, Stanley ""Artgerm"" Lau."
