BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
3479509,"Franklin and Luna and the book of fairy tales / Jen Campbell, Katie Harnett.","Campbell, Jen","0500651752, 9780500651759",2019.,"Thames and Hudson,","Dragons Juvenile fiction, Characters and characteristics in literature Juvenile fiction, Surprise birthday parties Juvenile fiction, Books and reading Juvenile fiction",jcbk,ncnew,,net,03/01/2020,1
2737917,Holiday dinners with Bradley Ogden : 150 festive recipes for bringing family & friends together / Bradley Ogden with Lydia Scott.,"Ogden, Bradley","0762439157, 9780762439157",[2011],"Running Press,","Cooking, Holiday cooking",acbk,nanf,,swt,12/01/2020,1
3359831,"Cuzco, Machu Picchu & the Inca heartland / Robert & Daisy Kunstaetter.","Kunstaetter, Robert","1911082256, 9781911082255",2017.,"Footprint,","Peru Guidebooks, Cuzco Peru Guidebooks, Machu Picchu Site Peru Guidebooks",acbk,nanf,,wts,03/01/2020,1
3298424,Sleeping Beauty / retold by Cynthia Rylant ; pictures by Erin McGuire.,"Rylant, Cynthia","1423121082, 9781423121084",[2015],"Disney Hyperion,","Sleeping Beauty Tale Juvenile literature, Folklore Germany Juvenile literature, Fairy tales Adaptations Juvenile literature, Fairy tales, Folklore",jcbk,ncfft,,mag,11/01/2020,1
3203995,How to escape from a leper colony : a novella and stories / Tiphanie Yanique.,"Yanique, Tiphanie","155597550X, 9781555975500",2010.,"Graywolf Press,","United States Virgin Islands Fiction, Short stories",acbk,cafic,,cen,05/01/2020,1
2919527,Crucial conversations : tools for talking when stakes are high / Kerry Patterson ... [and others].,,"0071771328, 0071775307, 9780071771320, 9780071775304",[2012],"McGraw-Hill,","Interpersonal communication, Interpersonal relations",acbk,nanf,,rbe,11/01/2020,1
3509102,Understanding mental illness : a comprehensive guide to mental health disorders for family and friends / Carlin Barnes and Marketa Wills.,"Barnes, Carlin","1510745947, 9781510745940",[2019],"Skyhorse Publishing,","Mental illness, Psychology Pathological",acbk,nanf,,bal,02/01/2020,1
3344222,Getting to us : how great coaches make great teams / Seth Davis.,"Davis, Seth","073522272X, 9780735222724",2018.,"Penguin Press,","Coaching Athletics, Basketball coaches United States, Football coaches United States",acbk,nanf,,swt,04/01/2020,1
3370813,"Aquaman. Vol. 5, The crown comes down / Dan Abnett, Phillip Kennedy Johnson, writers ; Riccardo Federici, Max Fiumara, Rick Leonardi, artists ; Sunny Gho, Dave Stewart, colorists ; Steve Wands, Deron Bennett, letterers ; Stjepan Sejic, collection cover artist.","Abnett, Dan","1401280692, 9781401280697",[2018],"DC Comics,","Aquaman Fictitious character Comic books strips etc, Superheroes Comic books strips etc, Superhero comics, Comics Graphic works, Graphic novels",acbk,nycomic,,wts,03/01/2020,1
1995873,"Be here now, remember.",,0517543052,1978.,"Hanuman Foundation : Distributed by Crown Pub.,","Ram Dass, Spiritual life, New Age movement",acbk,nanf,,mon,11/01/2020,1
3137350,A banquet of consequences / Elizabeth George.,"George, Elizabeth, 1949-","0525954333, 9780525954330",[2015],"Viking,","Lynley Thomas Fiction, Havers Barbara Fictitious character Fiction, Police England Fiction, Murder Investigation Fiction, London England Fiction, Mystery fiction",acbk,namys,Floating,mgm,02/01/2020,1
2901866,Presenting New Zealand : an illustrated history / Philip Temple.,"Temple, Philip","1869662237, 9781869662233",2008.,"New Holland Publishers (NZ),","New Zealand History, New Zealand Description and travel",acbk,naover,,glk,01/01/2020,1
3399503,Unstinky / by Andy Rash.,"Rash, Andy","0439368804, 9780439368803",2018.,"Arthur A. Levine Books, an imprint of Scholastic Inc.,","Stinkbugs Juvenile fiction, Honeybee Juvenile fiction, Odors Juvenile fiction, Self confidence Juvenile fiction, Stinkbugs Fiction, Honeybee Fiction, Bees Fiction, Odors Fiction, Self confidence Fiction, Picture books",jcbk,ncpic,,bal,06/01/2020,1
1879748,Romeo and Juliet : a guide to the play / Jay L. Halio.,"Halio, Jay L.",0313300895,1998.,"Greenwood Press,","Shakespeare William 1564 1616 Romeo and Juliet Examinations Study guides, Tragedy Examinations Study guides",acbk,canf,,cen,01/01/2020,1
1792215,William Shakespeare's Macbeth / retold by Bruce Coville ; pictures by Gary Kelley.,"Coville, Bruce","0803718993, 0803719000",[1997],"Dial Books,","Macbeth King of Scotland active 11th century Juvenile literature, Shakespeare William 1564 1616 Adaptations Juvenile literature",jcbk,ncnf,,net,09/01/2020,1
1648623,Dictionary of plant names / Allen J. Coombes.,"Coombes, Allen J.",0881922943,(1994 printing),"Timber Press,",Botany Dictionaries,acbk,nanf,,nga,08/01/2020,1
3004030,Dinosaur vs. school / Bob Shea.,"Shea, Bob","1423160878, 9781423160878",[2014],"Disney/Hyperion Books,","Dinosaurs Juvenile fiction, Nursery schools Juvenile fiction, Schools Juvenile fiction, Humorous stories, Humorous fiction",jcbk,ncpic,,dth,06/01/2020,1
3295587,Fred & the lumberjack / Steven Weinberg.,"Weinberg, Steven, 1984-","1481429833, 9781481429832",[2017],"Margaret K. McElderry Books,","Building Juvenile fiction, Beavers Habitations Juvenile fiction, House construction Juvenile fiction, Beavers Juvenile fiction, Loggers Juvenile fiction, Friendship Fiction",jcbk,ncpic,,wal,09/01/2020,1
3019858,"City of lies : love, sex, death, and the search for truth in Tehran / Ramita Navai.","Navai, Ramita","1610395190, 9781610395199",2014.,"PublicAffairs,","Tehran Iran Social conditions 21st century, Tehran Iran Social life and customs 21st century",acbk,canf,,cen,01/01/2020,1
532422,The economics of chaos : on revitalizing the American economy / Eliot Janeway.,"Janeway, Eliot",0525247114,[1989],"Dutton,","Economic history 1945, United States Economic conditions 1945, United States Economic policy",acbk,canf,,cen,06/01/2020,1
3155185,Gorilla tactics / Sheila Grau ; illustrated by Joe Sutphin.,"Grau, Sheila","141971371X, 9781419713712",[2016],"Amulet Books,","Monsters Juvenile fiction, Blessing and cursing Juvenile fiction, Boarding schools Juvenile fiction, Schools Juvenile fiction, Mystery and detective stories",jcbk,ncfic,,swt,12/01/2020,1
2919388,Dan's plan / by Lynn Maslen Kertell ; pictures by Dana Sullivan.,"Kertell, Lynn Maslen","0545514908, 9780545514903",[2013],"Scholastic,","Reading Primary Juvenile literature, Reading readiness Juvenile literature, English language Study and teaching Primary Juvenile literature, Reading Primary Whole word method Juvenile literature, Phonetics Study and teaching Primary Juvenile literature, Vocabulary Juvenile literature, Readers Primary",jcbk,ncrdr,,wts,12/01/2020,1
2963129,Game-changer : game theory and the art of transforming strategic situations / David McAdams.,"McAdams, David","0393239675, 9780393239676",[2014],"W.W. Norton & Company,","Game theory, Strategic planning, Strategy",acbk,nanf,,wts,12/01/2020,1
2940758,"A very merry temptation / Kimberly Kaye Terry, Pamela Yaye, Farrah Rochon.",,"0373091419, 9780373091416",2013.,"Harlequin/Kimani Arabesque,","Love stories, Erotic fiction, Christmas fiction",acbk,naaafic,,dth,08/01/2020,1
2969614,"Tippy- tippy - tippy, splash! / Candace Fleming ; illustrated by G. Brian Karas.","Fleming, Candace","1416954031, 9781416954033",[2014],"Atheneum Books for Young Readers,","Rabbits Juvenile fiction, Beaches Juvenile fiction",jcbk,ncpic,,dth,11/01/2020,1
1887390,"New York : an illustrated history / narrative by Ric Burns and James Sanders ; picture editor, Lisa Ades.","Burns, Ric",0679454829,1999.,"Knopf : Distributed by Random House,","New York N Y History, New York N Y History Pictorial works",acbk,canf,,cen,11/01/2020,1
3481865,The number of the heavens : a history of the multiverse and the quest to understand the cosmos / Tom Siegfried.,"Siegfried, Tom, 1950-","067497588X, 9780674975880",[2019],"Harvard University Press,",Multiverse History,acbk,nanf,,qna,02/01/2020,1
3013818,Into the Grey / Celine Kiernan.,"Kiernan, Celine","0763670618, 9780763670610",2014.,"Candlewick Press,","Brothers Fiction, Ireland Fiction, Ghost stories, Young adult fiction",acbk,nyfic,,nga,12/01/2020,1
3244838,Uncle Holland / JonArno Lawson ; illustrated by Natalie Nelson.,"Lawson, JonArno","1554989299, 9781554989294",2017.,"Groundwood Books, House of Anansi Press,","Theft Juvenile fiction, Painting Juvenile fiction, Stealing Fiction",jcbk,ncpic,,bal,11/01/2020,1
2853378,"The queen of Katwe : a story of life, chess, and one extraordinary girl's dream of becoming a grandmaster / Tim Crothers.","Crothers, Tim","1451657811, 9781451657814",2012.,"Scribner,","Mutesi Phiona, Women chess players Uganda Kampala Biography",acbk,nanf,,net,06/01/2020,1
3481230,American saint / Sean Gandert.,"Gandert, Sean","1542044057, 9781542044059",[2019],"47North,","Religious leaders Fiction, Miracles Fiction, Faith Fiction, Hagiography Fiction, Albuquerque N M Fiction, Religious fiction",acbk,cafic,,cen,10/01/2020,2
3459231,Past perfect life / Elizabeth Eulberg.,"Eulberg, Elizabeth","1547600926, 9781547600922",2019.,"Bloomsbury,","Secrecy Juvenile fiction, Identity Philosophical concept Juvenile fiction, Fathers and daughters Juvenile fiction, Single parent families Juvenile fiction, High schools Juvenile fiction, Schools Juvenile fiction, Young adult fiction",acbk,nyfic,,bea,06/01/2020,1
2636272,To serve the living : funeral directors and the African American way of death / Suzanne E. Smith.,"Smith, Suzanne E., 1964-","0674036212, 9780674036215",[2010],"Belknap Press of Harvard University Press,","Funeral rites and ceremonies United States, African Americans Funeral customs and rites, African Americans Social life and customs, Undertakers and undertaking United States, United States Social life and customs",acbk,canf,,cen,08/01/2020,1
2796229,Did Jesus exist? : the historical argument for Jesus of Nazareth / Bart D. Ehrman.,"Ehrman, Bart D.","0062204602, 9780062204608",[2012],"HarperOne,",Jesus Christ Historicity,acbk,nanf,,bro,09/01/2020,1
3243924,Melena's jubilee : the story of a fresh start / Zetta Elliott ; illustrated by Aaron Boyd.,"Elliott, Zetta","0884484432, 9780884484431",[2016],"Tilbury House Publishers,","Forgiveness Juvenile fiction, Grandmothers Juvenile fiction, Picture books",jcbk,ncpic,,nga,10/01/2020,1
3348253,No way home : a memoir of life on the run / Tyler Wetherall.,"Wetherall, Tyler, 1983-","1250112192, 9781250112194",2018.,"St. Martin's Press,","Wetherall Tyler 1983, Children of criminals United States Biography, Fathers and daughters United States Biography, Fugitives from justice Family relationships United States, Women authors American Biography",acbk,nanf,,uni,01/01/2020,1
2960668,Plato at the Googleplex : why philosophy won't go away / Rebecca Newberger Goldstein.,"Goldstein, Rebecca, 1950-","0307378195, 9780307378194",[2014],"Pantheon Books,","Plato Influence, Philosophy History 21st century, Imaginary conversations",acbk,nanf,,uni,07/01/2020,1
509907,DisplayWrite 4 made easy / Gail Todd.,"Todd, Gail",0078812704,[1987],"Osborne McGraw-Hill,","DisplayWrite 4 Computer file, Word processing",acbk,cs7,,cen,09/01/2020,1
3379567,How to start kindergarten / by Cathy Hapka and Ellen Titlebaum ; illustrated by Debbie Palen.,"Hapka, Cathy","1524715514, 1524715522, 9781524715519, 9781524715526",[2018],"Random House,","Kindergarten Juvenile fiction, Schools Juvenile fiction, Friendship Juvenile fiction, Imitation Juvenile fiction, Kindergarten Fiction, Schools Fiction, Friendship Fiction, Readers Publications",jcbk,ncrdr,,uni,10/01/2020,1
3368754,Handcrafted : a woodworker's story / Clint Harp.,"Harp, Clint","1501188984, 1501188992, 9781501188985, 9781501188992",2018.,"Touchstone,","Harp Clint, Cabinetmakers United States Biography, Furniture making Anecdotes",acbk,nanf,,gwd,10/01/2020,1
2802766,The wishing spell / Chris Colfer ; illustrated by Brandon Dorman.,"Colfer, Chris, 1990-","031620157X, 9780316201575",2012.,"Little, Brown,","Fairy tales, Characters in literature Fiction, Magic Fiction, Brothers and sisters Fiction, Twins Juvenile fiction",jcbk,ncfic,,qna,02/01/2020,1
